date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:07	107978/107978	---M-Z	200	added ('OK')	text/html	etag:W/%22d2057c7b1739894afee1cdf08ddc1cbf--gzip%22	https://bumblebee-mustard-727x.squarespace.com/	C:/My%20Web%20Sites/NS/bumblebee-mustard-727x.squarespace.com/index.html	(from )
18:16:07	358/358	---M-Z	200	added ('OK')	text/plain	date:Mon,%2015%20Apr%202024%2022:16:06%20GMT	https://bumblebee-mustard-727x.squarespace.com/robots.txt		(from )
18:16:07	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2015%20Apr%202024%2022:16:07%20GMT	http://static1.squarespace.com/static/661d9f900fca3e53a3118624/t/661da10f7933535dc1d010cf/1713217807188/%24%7Bf%7D.png?format=1500w	C:/My%20Web%20Sites/NS/static1.squarespace.com/static/661d9f900fca3e53a3118624/t/661da10f7933535dc1d010cf/1713217807188/${f}.026f7.delayed	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:08	16350/16350	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2015%20Apr%202024%2022:16:08%20GMT	http://use.typekit.net/ik/ARHmI1nJmaeA55yUWLzxvX_glG-DtCuAMMzqF4N42PXfeqCJXnX1IyvhF2jtFRZLFRjUZ28c5QM3ZcFywh9uwhIDwQItFRJXe6MK2hyydY8yScblZe8DSeUypPGHf5A5MyMMeMw6MTMgzwnhCMj.js	C:/My%20Web%20Sites/NS/use.typekit.net/ik/ARHmI1nJmaeA55yUWLzxvX_glG-DtCuAMMzqF4N42PXfeqCJXnX1IyvhF2jtFRZLFRjUZ28c5QM3ZcFywh9uwhIDwQItFRJXe6MK2hyydY8yScblZe8DSeUypPGHf5A5MyMMeMw6MTMgzwnhCMj.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:08	15357/15357	---M--	200	added ('OK')	image/png	etag:CMrO1dWZxYUDEAE=	https://images.squarespace-cdn.com/content/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/%24%7Bf%7D.png?content-type=image%2Fpng	C:/My%20Web%20Sites/NS/images.squarespace-cdn.com/content/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/${f}5d45.png	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:09	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:12	44196/44196	---M-Z	200	added ('OK')	text/javascript	etag:%22be07b24c7eebc648abf071b9118a17b0%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-1bf2b7f19d57989104ad-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-1bf2b7f19d57989104ad-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:12	90266/90266	---M-Z	200	added ('OK')	text/javascript	etag:%2239aababd86f4bd0ebdd34b5af5914307%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-e94539391642d3b99900-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:15	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:25	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%226b21148444160fe6785985c22d99a21f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:27	41267/41267	---M-Z	200	added ('OK')	text/javascript	etag:%228b465a58a1d079cf5946db24bd6f4dfb%22	http://assets.squarespace.com/universal/scripts-compressed/performance-05b0d13675885805a64c-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/performance-05b0d13675885805a64c-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:30	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:32	202340/202340	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Apr%202024%2022:16:30%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1712772943022-RISL5OTW906SEOCXSNEC/static.css	C:/My%20Web%20Sites/NS/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1712772943022-RISL5OTW906SEOCXSNEC/static.css	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:34	1281369/1281369	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Apr%202024%2022:16:28%20GMT	https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css	C:/My%20Web%20Sites/NS/static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:37	15357/15357	---M--	200	added ('OK')	image/png	etag:CMrO1dWZxYUDEAE=	http://images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/%24%7Bf%7D.png?format=1500w	C:/My%20Web%20Sites/NS/images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/${f}26f7.png	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:37	77159/77159	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2022:16:32%20GMT	https://bumblebee-mustard-727x.squarespace.com/cart	C:/My%20Web%20Sites/NS/bumblebee-mustard-727x.squarespace.com/cart.html	(from https://bumblebee-mustard-727x.squarespace.com/)
18:16:46	651640/651640	---M-Z	200	added ('OK')	text/javascript	etag:%22a609819c8e0c67906ae156d52213c01b%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-cd0a2c7859889265cc34-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/common-vendors-cd0a2c7859889265cc34-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:04	171416/171416	---M--	200	added ('OK')	image/jpeg	etag:CMjImf+ZxYUDEAE=	https://images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/7d430bc5-b5f2-44ba-837d-1a54f8d2d664/Screenshot+2024-04-14+201850.png	C:/My%20Web%20Sites/NS/images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/7d430bc5-b5f2-44ba-837d-1a54f8d2d664/Screenshot+2024-04-14+201850.jpg	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:10	142370/142370	---M--	200	added ('OK')	image/png	etag:COGHjJGaxYUDEAE=	https://images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/180085c0-d1db-4845-b9b8-21d6a960fde0/Screenshot+2024-04-14+201901.png	C:/My%20Web%20Sites/NS/images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/180085c0-d1db-4845-b9b8-21d6a960fde0/Screenshot+2024-04-14+201901.png	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:16	15357/15357	---M--	200	added ('OK')	image/png	etag:CMrO1dWZxYUDEAE=	https://images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/%24%7Bf%7D.png	C:/My%20Web%20Sites/NS/images.squarespace-cdn.com/content/v1/661d9f900fca3e53a3118624/6492d03e-3946-41c8-91e6-6a1198d93ae7/${f}.png	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:24	1640732/1640732	---M-Z	200	added ('OK')	text/javascript	etag:%22f8943a4470a158ff383e1eddf9725324%22	http://assets.squarespace.com/universal/scripts-compressed/common-91276a61d339e91d5eb4-min.en-US.js	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/scripts-compressed/common-91276a61d339e91d5eb4-min.en-US.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:26	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:28	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:28	180735/180735	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20Apr%202024%2022:17:16%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.c60096393cff060396b454574afa2699.js	C:/My%20Web%20Sites/NS/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/scripts/site-bundle.c60096393cff060396b454574afa2699.js	(from https://bumblebee-mustard-727x.squarespace.com/)
18:17:30	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:30	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:30	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:31	3051/3051	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:56%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:31	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:32	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:32	3420/3420	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:11%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:33	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:33	1057/1057	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:34	1048/1048	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
18:17:34	3374/3374	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	C:/My%20Web%20Sites/NS/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from https://static1.squarespace.com/static/versioned-site-css/661d9f900fca3e53a3118624/5/5c5a519771c10ba3470d8101/661d9f910fca3e53a3118633/1517/site.css)
